keys;pl
PZ10;Znak ten  oznacza:
PZ10O1;obowiązek jazdy na wprost przez skrzyżowanie
PZ10O2;drogę jednokierunkową
PZ10O3;niebezpieczny podjazd
PZ10DO;B
PZ11;Znak ten  oznacza:
PZ11O1;drogę dla dzieci
PZ11O2;drogę dla dorosłych
PZ11O3;przejście dla pieszych
PZ11DO;C
PZ12;Znak ten oznacza, że:
PZ12O1;droga podporządkowana krzyżuje się lub łączy z drogą z pierwszeństwem
PZ12O2;droga z pierwszeństwem krzyżuje się drogą podporządkowaną
PZ12O3;poruszasz się drogą z pierwszeństwem
PZ12DO;A
PZ13;Znak ten oznacza:
PZ13O1;próg zwalniający
PZ13O2;nierówną drogę
PZ13O3;koleiny
PZ13DO;A
PZ14;Ten znak oznacza:
PZ14O1;pierwszeństwo dla nadjeżdżających z  przeciwka
PZ14O2;pierwszeństwo na zwężonym odcinku drogi
PZ14O3;odcinek drogi o ruchu dwukierunkowym
PZ14DO;C
PZ15;Znak ten oznacza:
PZ15O1;zakaz wjazdu
PZ15O2;zakaz ruchu w obu kierunkach
PZ15O3;zakaz wjazdu pojazdów silnikowych
PZ15DO;B
PZ16;Znak ten oznacza:
PZ16O1;zakaz jazdy z prawej strony znaku
PZ16O2;nakaz jazdy z prawej strony znaku
PZ16O3;nakaz jazdy z lewej strony znaku
PZ16DO;B
PZ17;Znak ten oznacza:
PZ17O1;koniec drogi z pierwszeństwem
PZ17O2;ustąp pierwszeństwa przejazdu
PZ17O3;droga z pierwszeństwem
PZ17DO;C
PZ18;Znak ten oznacza:
PZ18O1;zakaz wjazdu na skrzyżowanie bez postoju, celem ustąpienia pierwszeństwa jadącym drogą z pierwszeństwem
PZ18O2;możliwość wjazdu na skrzyżowanie bez zatrzymania się pod warunkiem ustąpienia pierwszeństwa pojazdom jadącym drogą z pierwszeństwem
PZ18O3;zakaz wjazdu na skrzyżowanie bez zatrzymania się przed drogą z pierwszeństwem i obowiązek udzielenia pierwszeństwa pojazdom jadącym tą drogą
PZ18DO;C
PZ19;Odległość tego znaku od przejścia dla pieszych na drogach o dopuszczalnej prędkości powyżej 50 km/h wynosi:
PZ19O1;do 100 m
PZ19O2;od 150 m do 300 m
PZ19O3;ponad  300 m
PZ19DO;B
PZ20;Znak ten oznacza:
PZ20O1;zwężenie jezdni - obustronne
PZ20O2;zwężenie jezdni - lewostronne
PZ20O3;zwężenie jezdni - prawostronne
PZ20DO;C
PZ21;Znak ten oznacza:
PZ21O1;zakaz wjazdu pojazdów silnikowych
PZ21O2;zakaz wjazdu tylko samochodów osobowych
PZ21O3;zakaz wjazdu pojazdów silnikowych z wyjątkiem motocykli jednośladowych
PZ21DO;C
PZ22;Znak ten oznacza:
PZ22O1;odcinek jezdni o ruchu dwukierunkowym
PZ22O2;pierwszeństwo dla nadjeżdżających z przeciwka
PZ22O3;pierwszeństwo na zwężonym odcinku drogi
PZ22DO;B
PZ23;Znak ten oznacza:
PZ23O1;drogę ekspresową
PZ23O2;śliską jezdnię
PZ23O3;zakaz wjazdu pojazdów silnikowych z wyjątkiem motocykli jednośladowych
PZ23DO;A
PZ24;Znak  ten  oznacza:
PZ24O1;miejsce przejścia dla pieszych
PZ24O2;drogę dla pieszych
PZ24O3;przejście dla pieszych
PZ24DO;C
PZ25;Ten znak oznacza:
PZ25O1;zakaz wjazdu
PZ25O2;zakaz ruchu
PZ25O3;zakaz ruchu w obu kierunkach
PZ25DO;A
PZ26;Znak ten oznacza:
PZ26O1;drogę dla rowerów
PZ26O2;zakaz wjazdu rowerów
PZ26O3;rowerzyści
PZ26DO;A
PZ27;Znak ten oznacza:
PZ27O1;drogę z pierwszeństwem
PZ27O2;koniec drogi z pierwszeństwem
PZ27O3;ustąp pierwszeństwa przejazdu
PZ27DO;B
PZ28;Znak ten oznacza:
PZ28O1;obszar  zabudowany
PZ28O2;obiekt zabytkowy
PZ28O3;początek strefy zamieszkania
PZ28DO;A
PZ29;Znak ten oznacza skrzyżowanie:
PZ29O1;z drogą podporządkowaną występującą po obu stronach
PZ29O2;z drogami jednokierunkowymi
PZ29O3;dróg  równorzędnych
PZ29DO;A
PZ30;Znak ten oznacza zakaz wjazdu:
PZ30O1;rowerów i motorowerów
PZ30O2;rowerów
PZ30O3;motorowerów
PZ30DO;C
PZ31;Znak ten oznacza:
PZ31O1;zakaz wjazdu na wprost
PZ31O2;nakaz jazdy prosto przez  skrzyżowanie
PZ31O3;drogę jednokierunkową
PZ31DO;B
PZ32;Znak ten oznacza:
PZ32O1;autostradę
PZ32O2;drogę ekspresową
PZ32O3;koniec autostrady
PZ32DO;A
PZ33;Znak ten oznacza:
PZ33O1;nakaz jazdy prosto lub w lewo
PZ33O2;zakaz jazdy prosto lub w lewo
PZ33O3;wskazuje dozwolone kierunki na pasie ruchu zgodnie ze strzałkami umieszczonymi na znaku
PZ33DO;C
PZ34;Ten znak oznacza:
PZ34O1;dwa niebezpieczne zakręty (pierwszy w lewo)
PZ34O2;dwa niebezpieczne zakręty (pierwszy w prawo)
PZ34O3;niebezpieczny zakręt w prawo
PZ34DO;B
PZ35;Ten znak oznacza:
PZ35O1;zakaz wjazdu motocykli
PZ35O2;zakaz wjazdu motocykli jednośladowych
PZ35O3;drogę dla motocykli
PZ35DO;A
PZ36;Po drodze oznaczonej tym znakiem można jechać:
PZ36O1;rowerem jednośladowym
PZ36O2;wózkiem rowerowym
PZ36O3;motorowerem
PZ36DO;A
PZ37;Ten znak oznacza:
PZ37O1;zakaz jazdy prosto lub w prawo
PZ37O2;nakaz jazdy prosto lub w prawo
PZ37O3;wskazuje dozwolone kierunki na pasie ruchu zgodnie ze strzałkami umieszczonymi na znaku
PZ37DO;B
PZ38;Ten znak oznacza:
PZ38O1;odcinek jezdni o ruchu dwukierunkowym
PZ38O2;pierwszeństwo dla nadjeżdżających z przeciwka
PZ38O3;pierwszeństwo na zwężonym odcinku drogi
PZ38DO;C
PZ39;Znak ten oznacza:
PZ39O1;niebezpieczny zakręt w lewo
PZ39O2;dwa niebezpieczne zakręty (pierwszy w lewo)
PZ39O3;kilka niebezpiecznych zakrętów (pierwszy w lewo)
PZ39DO;B
PZ40;Znak ten oznacza zakaz jazdy rowerem:
PZ40O1;tylko po jezdni
PZ40O2;tylko po poboczu
PZ40O3;po jezdni i po poboczu
PZ40DO;C
PZ41;Znak ten oznacza:
PZ41O1;zakaz skrętu w prawo
PZ41O2;nakaz jazdy w prawo (skręcanie za znakiem)
PZ41O3;nakaz jazdy w prawo (skręcanie przed znakiem)
PZ41DO;B
PZ42;Znak ten oznacza nakaz jazdy rowerem:
PZ42O1;wielośladowym
PZ42O2;jednośladowym
PZ42O3;obie odpowiedz są prawidłowe
PZ42DO;C
PZ43;Znak ten oznacza:
PZ43O1;obszar zabudowany
PZ43O2;strefę zamieszkania
PZ43O3;koniec obszaru zabudowanego
PZ43DO;A
PZ44;Znak ten oznacza:
PZ44O1;drogę dla rowerów
PZ44O2;ostrzeżenie przed możliwością napotkania rowerzystów wjeżdżających na jezdnię
PZ44O3;przejazd dla rowerów
PZ44DO;B
PZ45;Znak ten oznacza:
PZ45O1;zakaz wjazdu na skrzyżowanie bez zatrzymania
PZ45O2;obowiązek zatrzymania się przed znakiem
PZ45O3;obowiązkowe zatrzymanie się przez kierujących tylko pojazdami wielośladowymi
PZ45DO;A
PZ46;Znak ten oznacza:
PZ46O1;zakaz wjazdu motorowerów
PZ46O2;że za tym znakiem nie mogą jechać rowerzyści
PZ46O3;drogę dla motorowerów
PZ46DO;A
PZ47;Znak ten oznacza:
PZ47O1;nakaz jazdy zgodnie z kierunkiem strzałek
PZ47O2;pierwszeństwo dla pojazdów jadących po rondzie
PZ47O3;zakaz jazdy w prawo
PZ47DO;A
PZ48;Znak ten oznacza:
PZ48O1;obszar zabudowany
PZ48O2;koniec obszaru zabudowanego
PZ48O3;koniec strefy zamieszkania
PZ48DO;B
PZ49;Znak ten oznacza:
PZ49O1;skrzyżowanie z drogą podporządkowaną występującą  po prawej stronie
PZ49O2;wlot drogi jednokierunkowej z prawej strony
PZ49O3;skrzyżowanie dróg równorzędnych
PZ49DO;A
PZ50;Znak ten oznacza:
PZ50O1;pierwszeństwo na zwężonym odcinku drogi
PZ50O2;odcinek drogi o ruchu dwukierunkowym
PZ50O3;pierwszeństwo dla nadjeżdżających z przeciwka
PZ50DO;C
PZ51;Znak ten oznacza:
PZ51O1;zakaz skrętu w lewo
PZ51O2;nakaz jazdy w lewo (skręcanie przed znakiem)
PZ51O3;nakaz jazdy w prawo (skręcanie przed znakiem)
PZ51DO;B
PZ52;Znak ten oznacza:
PZ52O1;koniec drogi ekspresowej
PZ52O2;autostrada
PZ52O3;koniec autostrady
PZ52DO;C
PZ53;Za tym znakiem:
PZ53O1;jest skrzyżowanie dróg róworzędnych
PZ53O2;rowerzysta ma pierwszeństwo przed rowerzystą wyjeżdżającym z drogi po lewej stronie
PZ53O3;jest skrzyżowanie z drogą podporządkowaną występującą po prawej stronie
PZ53DO;B
PZ54;Po drodze za tym znakiem rowerzysta:
PZ54O1;może dojechać na lekcję zaczynającą się o 8:00
PZ54O2;może wrócić po lekcji kończącej się o 16:15
PZ54O3;nie może jechać przez całą dobę
PZ54DO;A
PZ55;Po drodze oznaczonej tym znakiem można jechać rowerem:
PZ55O1;dowolnym
PZ55O2;tylko jednośladowym
PZ55O3;tylko wielośladowym
PZ55DO;A
PZ56;Po drodze oznaczonej tym znakiem można jechać rowerem:
PZ56O1;po dowolnej stronie pod warunkiem ustępowania pieszym
PZ56O2;po prawej stronie bez konieczności ustępowania pieszym
PZ56O3;tylko po lewej stronie
PZ56DO;C
PZ57;Za tym znakiem rowerzysta może:
PZ57O1;skręcić w lewo
PZ57O2;zawrócić
PZ57O3;skręcić w prawo
PZ57DO;C
PZ58;Znak ten oznacza:
PZ58O1;ruch okrężny
PZ58O2;skrzyżowanie o ruchu okrężnym
PZ58O3;zakaz skrętu w lewo
PZ58DO;B
PZ59;Znak ten oznacza:
PZ59O1;drogę dla rowerów
PZ59O2;rowerzyści
PZ59O3;zakaz wjazdu rowerów
PZ59DO;C
PZ60;Znak ten oznacza:
PZ60O1;nakaz jazdy prosto lub w prawo
PZ60O2;zakaz jazdy prosto lub w prawo
PZ60O3;kierunki na pasie  ruchu
PZ60DO;A
PZ61;Znak ten oznacza:
PZ61O1;most
PZ61O2;wiadukt
PZ61O3;tunel
PZ61DO;C
PZ62;Za tym znakiem rowerzysta na przejeździe niestrzeżonym:
PZ62O1;może przejechać przez tory po przejechaniu pociągu
PZ62O2;musi się upewnić czy po przejechaniu pociągu nie nadjeżdża inny pociąg z przeciwnego kierunku
PZ62O3;może przejechać przez tory po oddaleniu się pociągu co najmniej na jeden kilometr
PZ62DO;A
PZ63;Znak ten ostrzega o miejscu, w którym rowerzyści:
PZ63O1;wjeżdżają z drogi dla rowerów na jezdnię lub przez nią przejeżdżają
PZ63O2;mają pierwszeństwo przed innymi uczestnikami ruchu
PZ63O3;mogą korzystać z całej szerokości jezdni
PZ63DO;A
PZ64;Znak ten oznacza:
PZ64O1;drogę przeznaczoną do ruchu wózków rowerowych
PZ64O2;drogę lub jej część przeznaczoną do ruchu rowerów jednośladowych
PZ64O3;turystyczny szlak rowerowy
PZ64DO;B
PZ65;Za tym znakiem rowerzysta na najbliższym skrzyżowaniu:
PZ65O1;musi ustąpić rowerzyście wjeżdżającemu z lewej strony
PZ65O2;może skręcić w lewo
PZ65O3;ma pierwszeństwo przed rowerzystą wjeżdżającym z lewej strony
PZ65DO;C
PZ66;Za tym znakiem nie mogą jechać:
PZ66O1;wózki ręczne
PZ66O2;pojazdy z przyczepami
PZ66O3;wózki rowerowe
PZ66DO;C
PZ67;Znak ten oznacza:
PZ67O1;zakaz jazdy w lewo lub w prawo
PZ67O2;nakaz jazdy w prawo lub w lewo -  skręcanie przed znakiem
PZ67O3;nakaz jazdy w prawo lub w lewo
PZ67DO;C
PZ68;Za tym znakiem rowerzysta:
PZ68O1;nie może skręcić w lewo
PZ68O2;po skręceniu w lewo wjedzie na drogę bez przejazdu
PZ68O3;na tym skrzyżowaniu ma pierwszeństwo przed wszystkimi pojazdami
PZ68DO;B
PZ69;Po drodze oznaczonej tym znakiem rowerzysta:
PZ69O1;może jechać, jeżeli nie ma wyznaczonej drogi dla rowerów
PZ69O2;może jechać, jeżeli nie ma pobocza
PZ69O3;nie może jechać
PZ69DO;C
PZ70;Za tym znakiem rowerzysta:
PZ70O1;napotka przejazd kolejowy z zaporami
PZ70O2;napotka przejazd kolejowy bez zapór
PZ70O3;może przejechać przez tory po całkowitym podniesieniu zapór
PZ70DO;B
PZ71;Za tym znakiem rowerzysta:
PZ71O1;może jechać dowolną stroną drogi, ustępując pierwszeństwa pieszym
PZ71O2;może jechać tylko po prawej stronie tej drogi
PZ71O3;może jechać dowolną stroną drogi i ma pierwszeństwo przed pieszymi
PZ71DO;A
PZ72;Za tym znakiem rowerzysta:
PZ72O1;ma zakaz jazdy w lewo
PZ72O2;ma nakaz jazdy w lewo (skręcanie przed znakiem)
PZ72O3;musi jechać z lewej strony znaku
PZ72DO;C
PZ73;Za tym znakiem rowerzysta:
PZ73O1;musi włączyć światła pozycyjne
PZ73O2;może wyłączyć światła pozycyjne w dzień
PZ73O3;nie może wyłączyć świateł pozycyjnych nawet w warunkach dobrej przejrzystości powietrza w okresie od świtu do zmierzchu
PZ73DO;B
PZ74;Za tym znakiem rowerzysta:
PZ74O1;nie może przekroczyć prędkości 30 km/h tylko do najbliższego skrzyżowania
PZ74O2;nie może przekroczyć prędkości 30 km/h do znaku odwołującego to ograniczenie
PZ74O3;może przekroczyć prędkość 30 km/h
PZ74DO;B
PZ75;Za tym znakiem rowerzysta:
PZ75O1;nie może zatrzymać się tylko na jezdni
PZ75O2;nie może zatrzymać się na jezdni i chodniku
PZ75O3;ten znak nie dotyczy rowerzysty
PZ75DO;B
PZ76;Znak ten:
PZ76O1;wskazuje miejsce bezwzględnego zatrzymania pojazdu
PZ76O2;uprzedza o wjeździe na drogę podporządkowaną
PZ76O3;wskazuje miejsce warunkowego zatrzymania pojazdu przed wjazdem na drogę z pierwszeństwem przejazdu
PZ76DO;C
PZ77;Za tym sygnalizatorem (czerwone światło i zielona strzałka w lewo) rowerzysta może:
PZ77O1;zawrócić
PZ77O2;skręcić w prawo
PZ77O3;tylko skręcić w lewo
PZ77DO;A
PZ78;Który znak nie obowiązuje rowerzysty jadącego rowerem wielośladowym?
PZ78O1;A i B
PZ78O2;B i C
PZ7803;tylko C
PZ78DO;C
PZ79;Który znak zobowiązuje kierującego rowerem do zatrzymania pojazdu?
PZ79O1;A  i  B
PZ79O2;B  i  C
PZ79O3;A  i   C
PZ79DO;B
PZ80;W tej sytuacji rowerzysta:
PZ80O1;powinien jechać po prawej stronie jezdni
PZ80O2;jedzie po przejeździe dla rowerzystów
PZ80O3;naruszył przepisy ruchu drogowego: powinien prowadzić rower po przejściu dla pieszych
PZ80DO;C
PZ81;Tym znakiem rowerzysta jest ostrzeżony o:
PZ81O1;drodze dla rowerów
PZ81O2;możliwości napotkania kolumny rowerzystów
PZ81O3;przejeździe dla rowerzystów
PZ81DO;C
PZ82;Za tym znakiem rowerzysta:
PZ82O1;nie może skręcić w lewo
PZ82O2;nie może zawrócić
PZ82O3;może jechać tylko prosto
PZ82DO;B
PZ83;Za tym znakiem rowerzysta:
PZ83O1;nie może jechać dalej, jeżeli nie może osiągnąć prędkości 30 km/h
PZ83O2;musi jechać z prędkością mniejszą niż 30 km/h
PZ83O3;musi po tej drodze jechać z prędkością 30 km/h
PZ83DO;A
PZ84;Za tym znakiem rowerzysta:
PZ84O1;musi ustąpić pierwszeństwa pieszym i rowerzystom na przejściu dla pieszych i przejeździe dla rowerzystów
PZ84O2;ustępuje pierwszeństwa tylko pieszym
PZ84O3;ustępuje pierwszeństwa tylko rowerzystom
PZ84DO;A
PZ85;Znak ten oznacza:
PZ85O1;zakaz wjazdu rowerem
PZ85O2;drogę dla rowerów jednośladowych
PZ85O3;szlak rowerowy  krajowy
PZ85DO;C
PZ86;Za tym znakiem rowerzysta:
PZ86O1;może jechać dalej bez zwracania uwagi na stan drogi, ponieważ znak ten dotyczy tylko pojazdów samochodowych
PZ86O2;powinien zachować szczególną ostrożność i miarę potrzeby zejść z roweru i prowadzić go przez oszroniony odcinek drogi
PZ86O3;nie może jechać dalej
PZ86DO;B
PZ87;Za tym znakiem rowerzysta:
PZ87O1;nie może wyprzedzić rowerzysty
PZ87O2;nie może wyprzedzić kolumny pieszych
PZ87O3;może wyprzedzić rowerzystę
PZ87DO;C
PZ88;Za tym znakiem rowerzysta:
PZ88O1;musi jechać z prędkością 30 km/h
PZ88O2;musi jechać z prędkością mniejszą niż 30 km/h
PZ88O3;może jechać z dowolną prędkością
PZ88DO;C
PZ89;Za tym znakiem rowerzysta:
PZ89O1;ma na jezdni pierwszeństwo przed pieszym
PZ89O2;może jechać z prędkością do 20 km/h i ma obowiązek ustąpić pierwszeństwa pieszemu
PZ89O3;nie może przekraczać prędkości 20 km/h i ma na jezdni pierwszeństwo przed pieszym
PZ89DO;B
PZ90;Znak ten oznacza:
PZ90O1; szlak rowerowy międzynarodowy
PZ90O2;szlak rowerowy krajowy
PZ90O3;zmiana kierunku szlaku  rowerowego
PZ90DO;A
PZ91;Znak ten ostrzega rowerzystę o śliskiej jezdni spowodowanej:
PZ91O1;rodzajem nawierzchni
PZ91O2;tylko oblodzeniem jezdni
PZ91O3;tylko opadami atmosferycznymi
PZ91DO;A
PZ92;Za tym znakiem rowerzysta ma zakaz:
PZ92O1;zatrzymywania się
PZ92O2;postoju
PZ92O3;postoju w dni nieparzyste
PZ92D0;B
PZ93;Za tym znakiem rowerzysta:
PZ93O1;może jechać pod warunkiem ustępowania pierwszeństwa pieszym
PZ93O2;nie może jechać po tej drodze
PZ93O3;może korzystać z tej drogi w razie braku pobocza lub drogi dla rowerów
PZ93DO;B
PZ94;Za tym znakiem rowerzysta:
PZ94O1;na najbliższym skrzyżowaniu jest włączającym się do ruchu
PZ94O2;nie może przekroczyć prędkości 20 km/h
PZ94O3;wjeżdża do strefy zamieszkania
PZ94DO;A
PZ95;Ta tabliczka („Agatka”) jest połączona jest ze znakiem:
PZ95O1;nakazu „droga dla pieszych”
PZ95O2;ostrzegawczym „dzieci”
PZ95O3;informacyjnym „przejście dla pieszych”
PZ95DO;C
PZ96;Ten rowerzysta:
PZ96O1;powinien wjechać na drogę dla rowerów, która jest po lewej stronie drogi
PZ96O2;jedzie zgodnie z przepisami, ponieważ obowiązuje ruch prawostronny
PZ96O3;jedzie za blisko prawej krawędzi jezdni
PZ96DO;A
PZ97;Za tym znakiem  kierujący rowerem:
PZ97O1;powinien spodziewać się progu  zwalniającego
PZ97O2;napotka nierówną drogę
PZ97O3;musi się zatrzymać
PZ97DO;A
PZ98;Za tym znakiem kierujący rowerem nie może jechać:
PZ98O1;tylko po jezdni
PZ98O2;tylko po poboczu
PZ98O3;po jezdni i poboczu
PZ98DO;C
PZ99;Za tym znakiem rowerzysta ma zakaz:
PZ99O1;postoju
PZ99O2;zatrzymywania się
PZ9903;postoju w dni parzyste
PZ99DO;B
PZ100;Za tym znakiem rowerzysta:
PZ100O1;musi zawrócić
PZ100O2;może jechać tą drogą
PZ100O3;nie może jechać tą drogą
PZ100DO;C
PZ101;Przy wjeździe na ulicę Bezpieczną stoi znak oznaczony literą A. Z drugiej strony tej ulicy stoi znak oznaczony literą:
PZ101O1;C
PZ101O2;A
PZ101O3;B
PZ101DO;A
PZ102;Za tym znakiem (koniec drogi dla rowerów) rowerzysta:
PZ102O1;powinien zejść z roweru i przeprowadzić go przez jezdnię po przejściu dla pieszych
PZ102O2;może jechać dalej, bo za jezdnią jest droga dla rowerów
PZ102O3;musi zmniejszyć prędkość przejazdu po przejściu dla pieszych do 5 km/h
PZ102DO;A
PZ103;Znak ten ostrzega kierującego:
PZ103O1;o możliwości napotkania kolumny rowerzystów
PZ103O2;że za 50 metrów na jezdnię mogą wjeżdżać rowerzyści
PZ103O3;że napotka miejsce, w którym rowerzyści wjeżdżają z drogi dla rowerów na jezdnię lub przez nią przejeżdżają
PZ103DO;C
PZ104;Znak ten z tabliczką oznacza:
PZ104O1;zakaz wjazdu rowerami jednośladowymi
PZ104O2;zezwolenie na wjazd rowerami tylko wielośladowymi
PZ104O3;że zakaz nie dotyczy rowerów jednośladowych
PZ104DO;C
PZ105;Znak ten nie dotyczy:
PZ105O1;rowerzystów i motorowerzystów
PZ105O2;kierowców samochodów ciężarowych
PZ105O3;motocyklistów
PZ105DO;A
PZ106;Znak ten nie dotyczy:
PZ106O1;motocykla
PZ106O2;samochodu osobowego
PZ106O3;rowerzysty, który jedzie składakiem w wolnym tempie
PZ106DO;C
PZ107;Znak ten dotyczy:
PZ107O1;rowerów jednośladowych
PZ107O2;rowerów wielośladowych
PZ107O3;obie odpowiedzi są prawidłowe
PZ107DO;C
PZ108;Ten znak zobowiązuje kierującego pojazdem do zatrzymania się:
PZ108O1;przed znakiem
PZ108O2;tuż za znakiem
PZ108O3;w takim miejscu, aby widzieć co się dzieje na drodze, do której dojeżdża
PZ108DO;C
PK1;W tej sytuacji rowerzyści:
PK1O1;jadą zgodnie z przepisami ruchu drogowego
PK1O2;jadą niezgodnie z przepisami ruchu drogowego, ponieważ utrudniają ruch
PK1O3;powinni jechać obok jezdni
PK1DO;B
PK2;W tej sytuacji:
PK2O1;żaden pojazd nie może wjechać  na skrzyżowanie
PK2O2;taka postawa policjanta (podniesiona ręka) jest odpowiednikiem sygnału czerwonego
PK2O3;tylko tramwaj może przejechać  przez skrzyżowanie
PK2DO;A
PK3;W przedstawionej sytuacji:
PK3O1;kierujący pojazdem 2 (skręcający w prawo) jest obowiązany ustąpić pierwszeństwa pieszym
PK3O2;piesi powinni cofnąć się na chodnik
PK3O3;kierujący pojazdami 1 i 2 mają pierwszeństwo przed pieszymi
PK3DO;A
PK4;W tej sytuacji rowerzysta:
PK4O1;przejeżdża pierwszy
PK4O2;ustępuje pierwszeństwa pojazdowi z lewej strony
PK4O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK4DO;C
PK5;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK5O1;samochód z prawej strony
PK5O2;rower
PK5O3;samochód z lewej strony
PK5DO;A
PK6;Który pojazd opuści to skrzyżowanie jako ostatni?
PK6O1;rower
PK6O2;samochód z prawej strony
PK6O3;samochód z lewej strony
PK6DO;C
PK7;Który pojazd opuści to skrzyżowanie jako drugi?
PK7O1;rower
PK7O2;samochód z prawej strony
PK7O3;samochód z lewej strony
PK7DO;A
PK8;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK8O1;rowerzysta – samochód z lewej strony – samochód z prawej strony
PK8O2;samochód z prawej strony – rowerzysta – samochód z lewej strony
PK8O3;oba samochody równocześnie – rowerzysta
PK8DO;C
PK9;W tej sytuacji rowerzysta:
PK9O1;ma pierwszeństwo przed pojazdem z lewej strony
PK9O2;ma pierwszeństwo przed pojazdem z prawej strony
PK9O3;przejeżdża ostatni
PK9DO;C
PK10;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK10O1;samochód z prawej strony
PK10O2;samochód z lewej strony
PK10O3;rower
PK10DO;B
PK11;Który pojazd opuści to skrzyżowanie jako ostatni?
PK11O1;uprzywilejowany
PK11O2;rower
PK11O3;samochód z prawej strony
PK11DO;B
PK12;Który pojazd opuści to skrzyżowanie jako drugi?
PK12O1;uprzywilejowany
PK12O2;samochód z lewej strony
PK12O3;rower
PK12DO;C
PK13;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK13O1;samochód z prawej strony - samochód z lewej strony - rowerzysta
PK13O2;samochód z prawej strony – rowerzysta - samochód z lewej strony
PK13O3;samochód z lewej strony - samochód z prawej strony - rowerzysta
PK13DO;B
PK14;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK14O1;pojazd uprzywilejowany – rowerzysta – samochód z lewej strony
PK14O2;samochód z lewej strony – rowerzysta – pojazd uprzywilejowany
PK14O3;pojazd uprzywilejowany – samochód z lewej strony – rowerzysta
PK14DO;A
PK15;W tej sytuacji rowerzysta:
PK15O1;ustępuje pierwszeństwa autobusowi
PK15O2;przejeżdża pierwszy
PK15O3;ustępuje pierwszeństwa pojazdowi z prawej strony
PK15DO;B
PK16;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK16O1;autobus
PK16O2;rowerzysta
PK16O3;samochód z prawej strony
PK16DO;C
PK17;Który pojazd opuści to skrzyżowanie jako ostatni?
PK17O1;samochód z prawej strony
PK17O2;samochód z napisem POLICJA (skręcający w lewo)
PK17O3;samochód z lewej strony
PK17DO;B
PK18;Który pojazd opuści to skrzyżowanie jako drugi?
PK18O1;rowerzysta
PK18O2;samochód z napisem POLICJA (skręcający w lewo)
PK18O3;samochód z lewej strony
PK18DO;B
PK19;Podaj prawidłową kolejność przejazdu przez to skrzyżowanie:
PK19O1;samochód z prawej strony – rowerzysta – autobus
PK19O2;rowerzysta – autobus – samochód z prawej strony
PK19O3;autobus– rowerzysta – samochód z prawej strony
PK19DO;B
PK20;W tej sytuacji rowerzysta:
PK20O1;nie może wjechać na skrzyżowanie
PK20O2;ma pierwszeństwo przed pojazdem z prawej strony
PK20O3;ma pierwszeństwo przed pojazdem z lewej strony
PK20DO;A
PK21;Który pojazd opuści to skrzyżowanie jako pierwszy?
PK21O1;samochód z prawej strony
